Payee:TEXT,Amount:REAL,tag:TEXT
EXPEDIA 72067777964197 EXPEDIA.COM WA,568.2,Lodging
EXPEDIA 73062267828670 EXPEDIA.COM WA,3724.8,Lodging
EXPEDIA 73063315439405 EXPEDIA.COM WA,961.4,Lodging
EXPEDIA 73063336852687 EXPEDIA.COM WA,24.0,Lodging
EXPEDIA 73084548923059 EXPEDIA.COM WA,411.0,Lodging
EXPEDIA 73085471437070 EXPEDIA.COM WA,288.4,Lodging
EXPEDIA 73098705690268 EXPEDIA.COM WA,704.4,Lodging
EXPEDIA 73216014890497 EXPEDIA.COM WA,15.6,Lodging
EXPEDIA 73220320765207 EXPEDIA.COM WA,215.5,Lodging
EXPEDIA 73244879778030 EXPEDIA.COM WA,146.1,Lodging
EXPEDIA 73264028341883 EXPEDIA.COM WA,65.3,Lodging
EYE SOCIETY BELLEVUE BELLEVUE WA,1059.2,Health
FAA MEDICAL EXAMS INC SEATTLE WA,190.0,Aircraft_Aviation
FAIRFIELD INN & SUITES DES MOINES IA,152.3,Lodging
FAIRFIELD INN & SUITES DETROIT LAKESMN,193.2,Lodging
Fat Tire Tours Holdings L732-9153680 TX,52.1,Miscellaneous_Unknown
FIRST LIGHT CONDO FIRSTLIGHTSEAWA,51.9,House & Real Estate
FORD OF KIRKLAND/HYUNDAI KIRKLAND WA,1623.8,Cars_Boats
FOREFLIGHT LLC 855-583-5087 TX,1065.6,Aircraft_Aviation
FRAUD DISPUTE,-61.5,Miscellaneous_Unknown
FSP*EASTSIDE LIMOUSINE 425-558-4755 WA,1770.0,Transportation
Garmin 800-5112459 ME,529.7,Computers_Software
GATEWAY AIRPORT AUTHORI POLOKWANE,24.1,Miscellaneous_Unknown
GAUTRAIN ORTIA TVM GAUTENG,27.7,Miscellaneous_Unknown
GEG PEETES COFFEE C 2310 SPOKANE WA,10.0,Miscellaneous_Unknown
GEG RIVERSIDE CAFE 1118 SPOKANE WA,36.4,Miscellaneous_Unknown
GIANT 2381 WASHINGTON DC,55.4,Miscellaneous_Unknown
GIRLSCOUTSN 202-274-337 DC,37.0,Miscellaneous_Unknown
GO RENTALS COE HAYDEN ID,372.6,Transportation
GRAMMARLY CO*VOLZ7RU GRAMMARLY.COMCA,139.9,Computers_Software
GUARDIAN PEAK 112631 STELLENBOSCH,93.6,Food_Dining
GWL GRAND MOUND WOODS 800-6409653 WA,14.4,Miscellaneous_Unknown
H ST HAIR WASHINGTON DC,78.0,Miscellaneous_Unknown
HAGGEN 3480 STANWOOD WA,5.3,Miscellaneous_Unknown
HANDSOME LION ENTERPRIS LIVINGSTONE,1.8,Miscellaneous_Unknown
HERRERIA ROSAS SN MIGUEL DE,1875.0,Lodging
HERTZ IXTAPA MXN ZIHUATANEJO D,2239.5,Transportation
HERZL NERTAMID H-NT.SHULCLOUWA,45.0,Miscellaneous_Unknown
HOMOS FOL ABU ALI FORADES,43.5,Miscellaneous_Unknown
HORODATEURS AUT 2327664 37/TOURS,4.0,Miscellaneous_Unknown
HOT PRESENT MOMENT I LA UNION DE I,237.0,Miscellaneous_Unknown
HOTEL EDEN LA UNION GRO,604.8,Lodging
HOTEL SAFARI WINDHOEK,63.6,Lodging
HUDSON ST 1504 SEATTLE WA,4.2,Miscellaneous_Unknown
HUDSONNEWS ST1185 DES PLAINES IL,39.7,Miscellaneous_Unknown
HYATT REG LKE WSHGTN F&B RENTON WA,507.6,Lodging
IC OR TAMBO KEMPTON PARK,63.2,Miscellaneous_Unknown
IL BISTRO SEATTLE WA,378.8,Food_Dining
IN FLIGHT PURCHASE REBATE,-295.6,Miscellaneous_Unknown
IN FLIGHT REBATE ADJ,295.6,Miscellaneous_Unknown
INTEREST CHARGED ON BANK CASH ADVANCES,2.6,Miscellaneous_Unknown
ISLAND COUNTY CAMANO OUTBCAMANO ISLANDWA,133.8,House & Real Estate
JANES RADIANT 425-267-0202 WA,5982.9,House & Real Estate
JEPPESEN SANDERSON 800-621-5377 CO,619.3,Aircraft_Aviation
JOECOFFEE-CAFFE LADRO 120-65313212 WA,7.7,Miscellaneous_Unknown
JUDYS COUNTRY KITCHEN LLCCENTRALIA WA,57.7,Food_Dining
KATHAKALI AN INDIAN EATERKIRKLAND WA,111.1,Food_Dining
KING COUNTY PROP TAX PMNT888-8916064 WA,637.0,House & Real Estate
KONFIO*SERV TICTOC VALLE DE BRAV,307.4,Lodging
KOUSATHANAS EL KAI S VOULIAGMENI,110.6,Food_Dining
KOZA TURKISH GROCERY KIRKLAND WA,109.3,Food_Dining
LA REAL DE MICHOACAN HENDERSON NV,102.3,Food_Dining
LAZ PARKING ECOMMERCE HARTFORD CT,18.6,Miscellaneous_Unknown
LES 4 SAISONS AMBOISE,23.6,Miscellaneous_Unknown
LES SCHWAB #419 BELLEVUE WA,2711.5,Cars_Boats
LIGHTNINGSRC/INGMSPK 800-509-4156 TN,47.9,Miscellaneous_Unknown
LIMNH VOULIAGMENIS BOYLIAGMEN,40.0,Miscellaneous_Unknown
LOCALS ESPRESSO 3 STANWOOD WA,3.5,Miscellaneous_Unknown
LONDON THEATRE DIRECT LONDON,178.5,Entertainment
LS SNAPDOODLE TOYS & G 425-4080021 WA,46.6,Miscellaneous_Unknown
LUFTHANSA 2202221413860KOLN,794.4,Lufthansa
LUFTHANSA 2202221414324KOLN,6629.5,Lufthansa
LUFTHANSA 2202230313805KOLN,265.8,Lufthansa
LUFTHANSA 2202230814971KOLN,468.2,Lufthansa
LUFTHANSA 2202232218058KOLN,147.7,Lufthansa
LUFTHANSA 2202232244968KOLN,114.2,Lufthansa
LW Theatres Group Limitedlondon,334.3,Entertainment
LYFT *CAPITALBIKE RI LYFT.COM CA,4.9,Miscellaneous_Unknown
M&S CATERING SEATTLE SEATTLE WA,90.9,Food_Dining
MACPHERSON PRODUCE SEATTLE WA,27.4,Miscellaneous_Unknown
MANCHU WOK T1C ORD CHICAGO IL,15.6,Miscellaneous_Unknown
MANDALAY - CITIZENS LAS VEGAS NV,147.6,Food_Dining
MANDALAY - MOOREA BAR LAS VEGAS NV,475.0,Food_Dining
MANDALAY - NOODLE SHOP LAS VEGAS NV,561.8,Food_Dining
MANDALAY BAY HTL SELF PA LAS VEGAS NV,60.0,Food_Dining
MASTORIS ILIAS THIVA,10.9,Miscellaneous_Unknown
mcafee.com/autorenewal 866-6223911 CA,132.2,Computers_Software
MCDONALD'S F7026 EVERETT WA,8.0,Miscellaneous_Unknown
MEDIUM ANNUAL MEDIUM.COM CA,50.0,Subscriptions
MERCER ISLAND TRUE VALUE MERCER ISLANDWA,28.1,Miscellaneous_Unknown
MERCER NAILS & SPA MERCER ISLANDWA,452.0,Miscellaneous_Unknown
MERPAGO*JEAN CIUDAD DE MEX,260.6,Food_Dining
METROPOLIS PARKING METROPOLIS.IOTN,77.9,Transportation
METROPOLITAN MARKET KIRKLAND WA,58.1,Transportation
METROPOLITAN MARKET MERCER ISLANDWA,446.5,Transportation
MGMRI - SHARK REEF 185-52755733 NV,178.0,Entertainment
MHAISS HOSEA KUTAKO WINDHOEK,187.5,Food_Dining
MICHAEL'S TOYOTA OF BELL BELLEVUE WA,1980.6,Cars_Boats
MIXTA SAN MIGUEL SAN MIGUEL DE,114.9,Food_Dining
MOD PIZZA SEATTLE CNTR SEATTLE WA,10.6,Miscellaneous_Unknown
MON PETIT POULET PARIS 17,13.3,Miscellaneous_Unknown
Mount Vernon Mount Vernon VA,71.0,Miscellaneous_Unknown
MPS*THE ISRAELI CENT RAMAT HA'SHAR,50.4,Miscellaneous_Unknown
MUGG AND BEAN DOMESTI KEMPTON PARK,17.6,Miscellaneous_Unknown
MUSEO CIUDAD DE MEX,53.5,Entertainment
MUSIC FOR THE EYES LANGLEY WA,1150.0,Health
MUSTANG AVIATION PIERRE SD,865.2,Aircraft_Aviation
MWIBA HOLDINGS S3057031ARUSHA,840.0,Lodging
MY CHOICE SOFTWARE LLC 800-3181439 CA,230.0,Computers_Software
N.O.T. UK LIMITED LONDON,5.4,Miscellaneous_Unknown
NAC EROS AIRPORT WINDHOEK,20.8,Miscellaneous_Unknown
NANDO'S PERI PERI #028 WASHINGTON DC,20.1,Miscellaneous_Unknown
National Airport0016626LUSAKA,186.1,Transportation
NATIONAL AIRPORTS LSTON Livingstone,74.3,Miscellaneous_Unknown
NEA ODOS AE KAPANDRITI,8.8,Miscellaneous_Unknown
NEA ODOS AE MARTINO,5.1,Miscellaneous_Unknown
NEA ODOS AE THIVA,10.3,Miscellaneous_Unknown
Netflix 1 8445052993 CA,17.1,Miscellaneous_Unknown
Netflix.com 408-5403700 CA,79.3,Entertainment
Netflix.com netflix.com CA,36.9,Miscellaneous_Unknown
NETFLIX.COM NETFLIX.COM CA,79.3,Entertainment
NORTH IDAHO JET HAYDEN LAKE ID,743.2,Aircraft_Aviation
NOTRE DAME PARIS PARIS,11.6,Miscellaneous_Unknown
NY REVIEW OF BOOKS 800-354-0050 NY,129.9,Subscriptions
O.D.A.P. ROMAIKI AGORA DELFI,47.0,Miscellaneous_Unknown
OLYMPOUS PLAZA 76 ATALANTI,6.8,Miscellaneous_Unknown
OPENAI *CHATGPT SUBSCR OPENAI.COM CA,242.4,Computers_Software
ORCA 8889886722 WA,3.0,Miscellaneous_Unknown
ORCHARDS NURSERY STANWOOD WA,1140.8,House & Real Estate
OSPREY RESTAURANT AND B 509-5345805 WA,120.4,Food_Dining
Pacific Northwest Ball Seattle WA,219.0,Entertainment
PAGLIACCI JUANITA KIRKLAND WA,11.4,Miscellaneous_Unknown
PALAZZO SHOWROOM BAR LAS VEGAS NV,7.6,Miscellaneous_Unknown
"ParkWhiz, Inc. Chicago IL",62.9,Transportation
PASS ZATD WWW.TRAVELDOC,74.0,Entertainment
PAUL ST PAULS LONDON,12.0,Miscellaneous_Unknown
PERFORMANCE HOME MEDICAL 253-852-5612 WA,63.5,Health
Perkins Coie SEATTLE WA,70.0,Miscellaneous_Unknown
PETER MILLER BOOKS SEATTLE WA,295.7,Entertainment
PHEASANTS FURY AVIATION L605-3769708 SD,613.2,Aircraft_Aviation
PnP Crp Waterfront WATERFRONT,27.0,Miscellaneous_Unknown
PnP Fam Springs Gate SPRINGS,157.8,Food_Dining
POINTMP*DANI CIUDAD DE MEX,16.9,Miscellaneous_Unknown
PORT OF SOUTH WHIDBEY COUPEVILLE WA,7.0,Miscellaneous_Unknown
PORTUGUES FISHERMAN RES LUDERITZ,309.4,Food_Dining
Posthotel Leavenworth 509-5487678 WA,775.6,Lodging
POSTNET VA WATERFRONT CAPE TOWN,36.9,Miscellaneous_Unknown
PREMIER NAILS & SPA MERCER ISLANDWA,370.0,Miscellaneous_Unknown
PREMIUM PARKING PREMIUMPARKINLA,41.0,Miscellaneous_Unknown
PRET A MANGER HEATHROW,20.1,Miscellaneous_Unknown
PRET A MANGER LONDON,30.7,Miscellaneous_Unknown
PUMA ENERGY NAM-EROS A WINDHOEK,1409.4,Aircraft_Aviation
PUMA ENERGY ZAMBIA PLC LIVINGSTONE,665.3,Aircraft_Aviation
PUMA ENERGY ZAMBIA PLC LUSAKA,693.4,Aircraft_Aviation
PWK ATLANTIC WHEELING 847-8080812 IL,909.1,Aircraft_Aviation
QFC #5806 MERCER ISLANDWA,220.3,Food_Dining
QFC #5859 BELLEVUE WA,8.6,Miscellaneous_Unknown
RAMC AIRCRAFT FUEL GERMISTON,963.9,Aircraft_Aviation
RATP PARIS,5.8,Miscellaneous_Unknown
RECREATION.GOV ALBUQUERQUE NM,22.0,Miscellaneous_Unknown
REGISTERED AGENT - WA SINGLEFILE.IOWA,300.0,Computers_Software
REST EL CARDENAL LA AL CIUDAD DE MEX,63.0,Food_Dining
REST EL PEGASO SN MIGUEL DE,49.7,Miscellaneous_Unknown
REST IS POLITICS US UCKFIELD,81.4,Subscriptions
REST MI JAR LA UNION DE I,147.7,Food_Dining
REST MI JARDIN TRONCON LA UNION DE I,34.6,Miscellaneous_Unknown
REST PRESENT MOMENT LA UNION DE I,96.5,Food_Dining
RESTAURANT INDIGO ZIHUATANEJO D,1289.0,Food_Dining
RITE AID 05197 MERCER ISLANDWA,53.7,Health
ROYAL BANK UK / TESCO NRTH HA,369.8,Miscellaneous_Unknown
RYANMCBETH.COM RYANMCBETH.COMD,100.0,Subscriptions
SAHARA PIZZA - 102ND AVE STANWOOD WA,124.3,Food_Dining
SAHARA PIZZA - MERCER ISLMERCER ISLANDWA,56.8,Food_Dining
SAIGON MARKET CEDAR RAPIDS IA,10.8,Miscellaneous_Unknown
SAM CHOY TO THE MAXSEATACSEATAC WA,98.5,Food_Dining
SANTA ROSA JET CENTER SANTA ROSA CA,904.2,Aircraft_Aviation
SARANJEET SINGH SHAG CAB 206-8986775 WA,81.6,Transportation
SBUX SEATTLE WA,5.2,Miscellaneous_Unknown
SCHOLASTIC BOOK FAIRS R4 LAKE MARY FL,26.4,Miscellaneous_Unknown
SCIENCE MUSEUM LONDON,10.2,Miscellaneous_Unknown
Scribd *589159419 415-2336230 CA,145.5,Subscriptions
SDOT PAYBYPHONE PARKING 206-684-2489 WA,20.4,Miscellaneous_Unknown
SDOT PAYBYPHONE PARKING 206-684-5260 WA,8.5,Miscellaneous_Unknown
SEA AIRPORT PARKING 2067874069 WA,74.0,Transportation
SEATTLE CENTER MERCER SEATTLE WA,45.0,Miscellaneous_Unknown
SEATTLE MUNI INT #950003 800-950-1292 WA,246.6,Transportation
SHAKE SHACK - 1230 KIRKLAND WA,26.1,Miscellaneous_Unknown
SHELL LANSERIA Krugersdorp,4.8,Miscellaneous_Unknown
SHERATON LOS ANGELES CA,166.9,Lodging
SIGNATURE FLIGHT SUPPO CAPE TOWN,1346.5,Aircraft_Aviation
SLING.COM 888-363-1777 CO,139.9,Miscellaneous_Unknown
SOAMES HOTEL&JACKS BAR NANYUKI,711.5,Food_Dining
Solitaire Country Lod G Sesriem,11.8,Miscellaneous_Unknown
SORIANA939 ZIHUATANEJO ZIHUATANEJO D,626.7,Food_Dining
SOSIO'S PRODUCE SEATTLE WA,43.0,Miscellaneous_Unknown
SPHERE-CONCESSIONS LAS VEGAS NV,45.4,Miscellaneous_Unknown
SPO*CASCADIAPIZZACO-BELLEBELLEVUE WA,26.9,Miscellaneous_Unknown
SPO*WHISKEYCREEKWOODFIREGBROOKINGS SD,46.3,Miscellaneous_Unknown
SPORTY'S CATALOGS 513-735-9000 OH,792.5,Aircraft_Aviation
SQ *ALL CITY COFFEE Seattle WA,20.1,Miscellaneous_Unknown
SQ *ANDRII CO. Kirkland WA,11.0,Miscellaneous_Unknown
