Posted Date,Reference Number,Payee,Address,Amount
01/06/2025,24692165006107579740730,"SQ *THAI THAI KITCHEN STAStanwood WA","Stanwood      WA ",-157.03
01/06/2025,24204295005001552185061,"Scribd *589159419 415-2336230 CA","415-2336230   CA ",-13.23
01/06/2025,74208475004500013362193,"DELIVEROO LONDON","",-25.98
01/04/2025,24755425004130049848077,"FAA MEDICAL EXAMS INC SEATTLE WA","SEATTLE       WA ",-190.00
01/04/2025,24445005003300413104491,"QFC #5806 MERCER ISLANDWA","MERCER ISLAND WA ",-133.49
01/04/2025,24692165003105567886310,"SQ *SUGAR BAKERY & CAFE Seattle WA","Seattle       WA ",-10.69
01/04/2025,24013395003000552078194,"VM PARKING LINDEMAN SEATTLE WA","SEATTLE       WA ",-7.00
01/03/2025,74085325003060510620938,"BARBICAN CENTRE LONDON","",-195.62
01/03/2025,74208475002000012473135,"DELIVEROO LONDON","",-31.03
01/03/2025,74875305002001401010034,"TTG* TimeOut London","",-138.38
01/03/2025,24055235003201181258325,"CREPERIE DE PARIS REDMOND WA","REDMOND       WA ",-9.46
01/03/2025,24055235003201181258317,"CREPERIE DE PARIS REDMOND WA","REDMOND       WA ",-34.22
01/03/2025,24427335002740277357871,"METROPOLITAN MARKET MERCER ISLANDWA","MERCER ISLAND WA ",-3.31
01/03/2025,24064665003500002921160,"REGISTERED AGENT - WA SINGLEFILE.IOWA","SINGLEFILE.IO WA ",-100.00
01/03/2025,24692165002104394445250,"SHAKE SHACK - 1230 KIRKLAND WA","KIRKLAND      WA ",-26.11
01/02/2025,24427335001740263714359,"MCDONALD'S F7026 EVERETT WA","EVERETT       WA ",-8.00
01/02/2025,24692165001103613891196,"UNITED 0162447198764UNITED.COM TX","UNITED.COM    TX ",-834.95
01/02/2025,24692165001103520545927,"MOD PIZZA SEATTLE CNTR SEATTLE WA","SEATTLE       WA ",-10.56
01/02/2025,24692165001103383470262,"TST*MAMNOON Seattle WA","Seattle       WA ",-140.32
01/02/2025,24427334366740288556100,"METROPOLITAN MARKET MERCER ISLANDWA","MERCER ISLAND WA ",-9.38
01/02/2025,24427334366740288553875,"METROPOLITAN MARKET MERCER ISLANDWA","MERCER ISLAND WA ",-3.31
01/02/2025,24427334366740288553859,"METROPOLITAN MARKET MERCER ISLANDWA","MERCER ISLAND WA ",-8.00
01/02/2025,24427334366740288553693,"METROPOLITAN MARKET MERCER ISLANDWA","MERCER ISLAND WA ",-3.31
01/02/2025,24011345001000015010189,"DIGITALOCEAN.COM DIGITALOCEAN.NY","DIGITALOCEAN. NY ",-13.22
01/02/2025,24692164366103162531419,"SQ *SEATTLE : FACEPAINT Seattle WA","Seattle       WA ",-26.00
12/31/2024,74208474365000013971354,"DELIVEROO LONDON","",-39.21
12/31/2024,24333224366198263941464,"TPD JUANITA 119 KIRKLAND WA","KIRKLAND      WA ",-13.22
12/31/2024,74692164366102516164518,"SQ *KIDS MAGIC LAB LIMITERedmond WA","Redmond       WA ",30.00
12/31/2024,24692164366102494555740,"SQ *KIDS MAGIC LAB LIMITERedmond WA","Redmond       WA ",-95.00
12/31/2024,24445004365300397335116,"QFC #5894 KIRKLAND WA","KIRKLAND      WA ",-66.76
12/31/2024,24692164365102450333380,"SQ *KIDS MAGIC LAB LIMITERedmond WA","Redmond       WA ",-30.00
12/31/2024,24492164366000003113112,"LS SNAPDOODLE TOYS & G 425-4080021 WA","425-4080021   WA ",-44.11
12/31/2024,24492164365000017533512,"LS SNAPDOODLE TOYS & G 425-4080021 WA","425-4080021   WA ",-15.96
12/31/2024,24492164365000017470384,"LS SNAPDOODLE TOYS & G 425-4080021 WA","425-4080021   WA ",-5.50
12/31/2024,24492164365000017424142,"LS SNAPDOODLE TOYS & G 425-4080021 WA","425-4080021   WA ",-2.19
12/31/2024,24492164365000017415371,"LS SNAPDOODLE TOYS & G 425-4080021 WA","425-4080021   WA ",-143.26
12/31/2024,24717054365643651599265,"VINTAGE CAFE EVERETT WA","EVERETT       WA ",-62.20
12/30/2024,74208474365000000153214,"DELIVEROO LONDON","",-24.30
12/30/2024,74208474364000012348274,"DELIVEROO LONDON","",-43.72
12/30/2024,24333224365197273540432,"TPD JUANITA 119 KIRKLAND WA","KIRKLAND      WA ",-15.36
12/30/2024,74208474364000003106897,"DELIVEROO LONDON","",-35.92
12/30/2024,74208474364000003071646,"DELIVEROO LONDON","",-13.58
12/30/2024,74208474363000013670362,"DELIVEROO LONDON","",-55.33
12/30/2024,24427334363740275619807,"METROPOLITAN MARKET MERCER ISLANDWA","MERCER ISLAND WA ",-142.39
12/30/2024,24755424363173639482087,"CAMANO ISLAND COFFEE CAMANO ISLANDWA","CAMANO ISLAND WA ",-11.25
12/28/2024,74208474363000005724193,"DELIVEROO LONDON","",-26.43
12/27/2024,74208474362000001805245,"DELIVEROO LONDON","",-19.33
12/27/2024,74208474361000009119137,"DELIVEROO LONDON","",-23.89
12/27/2024,24427334361740265794703,"CAMANO PLAZA MA CAMANO ISLANDWA","CAMANO ISLAND WA ",-26.54
12/27/2024,24793384362000204571021,"Garmin 800-5112459 ME","800-5112459   ME ",-13.17
12/27/2024,24377354362000001716016,"ISLAND COUNTY CAMANO OUTBCAMANO ISLANDWA","CAMANO ISLAND WA ",-14.75
12/26/2024,24793384361000503815021,"Garmin 800-5112459 ME","800-5112459   ME ",-13.17
12/26/2024,24492164360000012407410,"OPENAI *CHATGPT SUBSCR HTTPSOPENAI.CCA","HTTPSOPENAI.C CA ",-22.04
12/26/2024,74208474360000000709838,"DELIVEROO LONDON","",-37.21
12/26/2024,74208474360000000201802,"DELIVEROO LONDON","",-40.66
12/26/2024,74208474359000010027604,"DELIVEROO PLUS - UK LONDON","",-10.06
12/26/2024,24064664360500001623932,"REGISTERED AGENT - WA SINGLEFILE.IOWA","SINGLEFILE.IO WA ",-100.00
12/26/2024,24064664360500001642056,"REGISTERED AGENT - WA SINGLEFILE.IOWA","SINGLEFILE.IO WA ",-100.00
12/24/2024,35906005720014070519442,"Online payment from CHK 9942","",7289.85
12/24/2024,24445004358300506203576,"FSP*IMAGINE CHILDREN'S MUEVERETT WA","EVERETT       WA ",-25.99
12/24/2024,24755424358173583228574,"CAMANO ISLAND COFFEE CAMANO ISLANDWA","CAMANO ISLAND WA ",-14.00
12/23/2024,24801974358190647593783,"ELGER BAY FOOD MART CAMANO ISLANDWA","CAMANO ISLAND WA ",-8.27
12/23/2024,24801974358190647593775,"ELGER BAY FOOD MART CAMANO ISLANDWA","CAMANO ISLAND WA ",-4.29
12/23/2024,74208474358000003569696,"DELIVEROO LONDON","",-23.75
12/23/2024,74208474358000003427762,"DELIVEROO LONDON","",-46.42
12/23/2024,24765014357190343133322,"ELGER BAY FOOD MART CAFE CAMANO WA","CAMANO        WA ",-3.74
12/23/2024,24765014357190343133314,"ELGER BAY FOOD MART CAFE CAMANO WA","CAMANO        WA ",-16.23
12/23/2024,24765014357190343133298,"ELGER BAY FOOD MART CAFE CAMANO WA","CAMANO        WA ",-15.49
12/23/2024,24755424357263578422869,"CAMANO ISLAND COFFEE CAMANO ISLANDWA","CAMANO ISLAND WA ",-29.00
12/23/2024,24639234357900014400976,"VIRGINIA MASON MEDICAL CE206-2236601 WA","206-2236601   WA ",-106.58
12/23/2024,24639234357900014400968,"VIRGINIA MASON MEDICAL CE206-2236601 WA","206-2236601   WA ",-40.00
12/23/2024,24765014357189341147334,"ELGER BAY FOOD MART CAFE CAMANO WA","CAMANO        WA ",-4.98
12/23/2024,24765014357189341147318,"ELGER BAY FOOD MART CAFE CAMANO WA","CAMANO        WA ",-28.59
