Date:TEXT,Item:TEXT,New:REAL
3/26/2025,Express Checkout Payment: American Airlines,713.5
3/31/2025,Express Checkout Payment: Hamrick Software,50.0
5/1/2025,PreApproved Payment Bill User Payment: Patreon,10.0
5/14/2025,Express Checkout Payment: The Way Ahead Group Limited,65.4
5/15/2025,PreApproved Payment Bill User Payment: Haaretz Daily Newspaper LTD,14.0
5/19/2025,PreApproved Payment Bill User Payment: The New York Times Co.,23.0
5/23/2025,Express Checkout Payment: Paddle.com Market Limited,10.0
5/23/2025,Express Checkout Payment: Paddle.com Market Limited,10.0
5/25/2025,Express Checkout Payment: Eventim UK Ltd,122.0
5/25/2025,Express Checkout Payment: Eventim UK Ltd,61.0
5/26/2025,Express Checkout Payment: Eventim UK Ltd,61.0
5/27/2025,Express Checkout Payment: Weee Inc ID: 6KX717955C9547155,42.0
5/27/2025,Express Checkout Payment: Weee Inc ID: 0WX39611G5864913D,42.4
5/28/2025,"PreApproved Payment Bill User Payment: The Week Publications, Inc",63.5
11/1/2025,PreApproved Payment Bill User Payment: Patreon,10.0
11/3/2025,PreApproved Payment Bill User Payment: The New York Times Co.,28.0
11/15/2025,PreApproved Payment Bill User Payment: Haaretz Daily Newspaper LTD,14.0
11/23/2025,Donation Payment: DANIEL-ADRIAN SAMOILA,10.7
10/1/2025,PreApproved Payment Bill User Payment: Patreon,10.0
10/6/2025,PreApproved Payment Bill User Payment: The New York Times Co.,28.0
10/15/2025,PreApproved Payment Bill User Payment: Haaretz Daily Newspaper LTD,14.0
9/1/2025,PreApproved Payment Bill User Payment: Patreon,10.0
9/1/2025,Express Checkout Payment: Deutsche Lufthansa AG,913.9
9/8/2025,PreApproved Payment Bill User Payment: The New York Times Co.,23.0
9/14/2025,"PreApproved Payment Bill User Payment: Epoch.com, LLC",60.0
9/15/2025,PreApproved Payment Bill User Payment: Haaretz Daily Newspaper LTD,14.0
9/20/2025,PreApproved Payment Bill User Payment: The Financial Times Ltd,719.0
