Payee:TEXT,Amount:REAL,tag:TEXT
ALASKA AIR 0272123560557SEATTLE WA,926.9,Other Airline
ALASKA AIR 0272123561906SEATTLE WA,660.4,Other Airline
ALASKA AIR 0272123564696SEATTLE WA,798.3,Other Airline
ALASKA AIR 0272123564697SEATTLE WA,798.3,Other Airline
ALASKA AIR 0272127317574SEATTLE WA,796.6,Other Airline
ALASKA AIR SEATTLE WA,560.0,Other Airline
ALCATRAZ DISENOS SN MIGUEL DE,106.2,"Food, Dining, Clothing"
ALLISTER 206-5520224 WA,465.7,"Food, Dining, Clothing"
ALTO ONSITE PARIS 1,7.0,Miscellaneous
AMALIA HOTEL DELFI,140.9,Lodging
AMATO DENTAL GROUP SEATTLE WA,679.8,Health
AMAZING CARPET AND TIL amazingcarpetCA,1850.0,House
AMAZON MKTPL*2G3CU58M3 Amzn.com/billWA,46.0,Amazon
AMAZON MKTPL*939Y966H3 Amzn.com/billWA,55.8,Amazon
AMAZON MKTPL*BX3XA0RY3 Amzn.com/billWA,26.1,Amazon
AMAZON MKTPL*G14MX7KP3 Amzn.com/billWA,48.5,Amazon
AMAZON MKTPL*I46WB3J73 Amzn.com/billWA,134.6,Amazon
AMAZON MKTPL*K93R07Q83 Amzn.com/billWA,33.9,Amazon
AMAZON MKTPL*KY8K40AP3 Amzn.com/billWA,111.0,Amazon
AMAZON MKTPL*LU2A765J3 Amzn.com/billWA,94.3,Amazon
AMAZON MKTPL*MR2VC0QV3 Amzn.com/billWA,23.1,Amazon
AMAZON MKTPL*NJ7129P20 Amzn.com/billWA,22.0,Amazon
AMAZON MKTPL*XF4GF1FP3 Amzn.com/billWA,41.9,Amazon
AMAZON RETA* 009QS22E3 WWW.AMAZON.COWA,67.8,Amazon
AMAZON RETA* 4W7E37JF3 WWW.AMAZON.COWA,11.2,Amazon
AMAZON RETA* 8H5781T53 WWW.AMAZON.COWA,33.0,Amazon
AMAZON RETA* HV6AX37B3 WWW.AMAZON.COWA,26.5,Amazon
AMAZON RETA* J575S5RM3 WWW.AMAZON.COWA,42.9,Amazon
AMAZON RETA* JQ1G71GN3 WWW.AMAZON.COWA,13.4,Amazon
AMAZON RETA* U043T5IR3 WWW.AMAZON.COWA,38.1,Amazon
AMAZON RETA* X10HB57L3 WWW.AMAZON.COWA,32.1,Amazon
AMRIKAN TOIL TEL AVIV,52.8,Miscellaneous
AMZN Mktp US*Z771R4XP0 Amzn.com/billWA,601.7,Amazon
ANNUAL FEE,95.0,Miscellaneous
APPLE UK R329 LONDON,615.4,Computers & Software
ARANGRANT AIR TKT 888-9463882 CA,1794.1,Other Airline
ARKIA BNEY BRAK,30.0,Miscellaneous
ARUGULA AND RYE DES MOINES IA,10.7,Miscellaneous
AT *KIDSQUEST CHILD'S MUSBELLEVUE WA,225.0,Entertainment & Education
ATM - TRANSACTION FEE,55.0,Miscellaneous
ATTIKI ODOS KOROPI,3.0,Miscellaneous
ATTIKI ODOS METAMORFOSI,2.9,Miscellaneous
Avis Rent A Car 1 SANDTON,95.1,Miscellaneous
AVIS RENT-A-CAR E387977656,265.1,Lodging
AVIS RENT-A-CAR E539612953,462.3,Lodging
AVIS RENT-A-CAR SANTA ROSA CA,2.5,Miscellaneous
AVIS RENT-A-CAR SPOKANE WA,258.0,Lodging
AVIS.COM PREPAY 800-352-7900 VA,-72.5,Miscellaneous
AVIS.COM PREPAY 8003527900 VA,269.7,Lodging
BABYSTACKS CAFE 7 LAS VEGAS NV,189.1,"Food, Dining, Clothing"
BANCO SANTANDER JOSE AZUETA,268.9,Lodging
BAR MARMOTA CIUDAD DE MEX,110.5,"Food, Dining, Clothing"
BARBICAN CENTRE LONDON,195.6,Entertainment & Education
BARNES & NOBLE #2867 ALEXANDRIA VA,148.8,Entertainment & Education
BARNES & NOBLE #3401 KIRKLAND WA,76.1,Miscellaneous
BARONS SINO KITCHEN & 425-5008888 WA,147.6,"Food, Dining, Clothing"
BICICLETA PUBL ECOBICI CIUDAD DE MEX,64.5,Miscellaneous
BITUMAN AVIATION SERVICESNairobi,1008.0,Aircraft
BOOK SHOP JERUSALEM,56.5,Miscellaneous
BRITISH A 1252209983414WWW.BRITISHAI,206.9,Other Airline
CAFE DE PARIS PARIS,109.5,"Food, Dining, Clothing"
CAFE VELOCE 425-8142972 WA,157.4,"Food, Dining, Clothing"
CAMANO ISLAND COFFEE CAMANO ISLANDWA,222.9,"Food, Dining, Clothing"
CAMANO ISLAND COFFEE R CAMANO ISLANDWA,12.5,Miscellaneous
CAMANO ISLAND STATE PARK 360-902-8572 WA,7.0,Miscellaneous
CAMANO ISLAND STATE PARK CAMANO ISLANDWA,7.0,Miscellaneous
CAMANO MARINE CAMANO ISLANDWA,2066.5,Vehicle
CAMANO PLAZA MA CAMANO ISLANDWA,341.5,"Food, Dining, Clothing"
CAMOCEAN COFFEE COMPANY CAMANO ISLANDWA,24.8,Miscellaneous
CARREFOURMARKET PARIS,46.6,Miscellaneous
CBI*Acronis 151-2289241 IL,347.1,Computers & Software
CCBill.com *Offworld Med888-5969279 AZ,70.0,Miscellaneous
CHATEAU BELMONT TOURS,122.1,Lodging
CHATEAU D AMBOIS2932818 AMBOISE,38.5,Miscellaneous
CHECKERS 64913 GROVE WINDHOEK,40.3,Miscellaneous
CHEVRON 0092003 MERCER ISLANDWA,48.2,Miscellaneous
CHEVRON 0356816 MERCER ISLANDWA,49.6,Miscellaneous
CHRISTIANSON'S NURSERY 360-466-3821 WA,668.1,House
CIELO SAN MIGUEL AL,64.6,Miscellaneous
CIELO SN MIGUEL DE,75.0,Miscellaneous
CINDY'S BEAUTY SALON MERCER ISLANDWA,114.0,"Food, Dining, Clothing"
CINEMARK 1118 BOXCON Bellevue WA,22.7,Miscellaneous
CITY OF CHILLICOTHE CHILLICOTHE MO,300.1,Entertainment & Education
CIVIL AVIATION (01) ZIMBABWE,40.8,Miscellaneous
CKE*PACIFIC DINER HENDERSHENDERSON NV,230.9,"Food, Dining, Clothing"
CLIP MX*TRANSPFRIENDL ALVARO OBREGO,661.3,Lodging
CLOITRE PSALETTE2620492 37TOURS,9.3,Miscellaneous
COCO PASSION PARIS 4,8.1,Miscellaneous
COFIROUTE 92506,56.2,Miscellaneous
Collina Cafe and RestauraDodoma,4.0,Miscellaneous
COLUMBIA CITY PARKING SEATTLE WA,10.0,Miscellaneous
CORPORATE AIR CENTER BURLINGTON WA,1905.4,Aircraft
CORPORATE AIR CENTER UB CBURLINGTON WA,137.7,Aircraft
COSTCO WHSE #0001 SEATTLE WA,217.2,
COSTCO WHSE #0662 BURLINGTON WA,248.5,
COUNTRY INN & SUITES - BROOKINGS SD,133.1,
COURTYARD BISMARCK NOR BISMARCK ND,281.9,
COURTYARD BY MARRIOTT BOSTON MA,454.2,
CREPERIE DE PARIS REDMOND WA,43.7,Miscellaneous
CRYSTAL MOUNTAIN ENUMCLAW WA,5.4,Miscellaneous
CTLP*Venuplus Inc ORLANDO FL,3.5,Miscellaneous
CURB LV TAXI NELLIS QUEENS NY,20.7,Miscellaneous
CURB LV TAXI YCS QUEENS NY,72.5,Miscellaneous
"CURSOR, AI POWERED IDE CURSOR.COM NY",211.6,
CVS/PHARMACY #11651 MERCER ISLANDWA,46.3,Miscellaneous
DB Automaten Frankfurt am,65.8,Miscellaneous
DELTA AIR 0062329773452800-2211212 CA,1797.0,
DELTA AIR 0062329773453800-2211212 CA,1797.0,
DELTA AIR 0062329773454800-2211212 CA,1797.0,
DELTA AIR 0062329773455800-2211212 CA,1797.0,
DELTA AIR 0062333866720800-2211212 CA,1648.0,
DELTA AIR 0062378738559LONGFORD,7080.1,
DELTA HOTELS BY MARRIOTT SWANSEA,601.7,
DESERT CAB LAS VEGAS NV,56.5,Miscellaneous
DEUX ARGYLE REALTORS LIMIMLOLONGO,119.8,
DIAMOND PARKING parkmobilecomWA,148.1,
DIAMOND PARKING SERVICES 509-295-6490 WA,86.5,Miscellaneous
DIGITALOCEAN.COM DIGITALOCEAN.NY,145.4,
DIM SUM FACTORY 131-27305592 IL,111.7,
DISCHEM GROVE WINDHOEK,17.2,Miscellaneous
DONNAS ESPRESSO MARYSVILLE WA,7.3,Miscellaneous
DOUBLETREE CEDAR RAPID 319-7314444 IA,229.3,
DPO*Airlink IBE NA Windhoek,727.4,
DPO*Airlink IBE ZW Harare,408.0,
EASTSIDE MOBILE AUTO GLAS206-255-7827 WA,1789.3,
ECITIZEN NAIROBI,68.1,Miscellaneous
EL AL 114249114117297239771111,1.9,Miscellaneous
EL AL TEL AVIV INTER LOD NAMAL TEU,0.0,Miscellaneous
ELGER BAY FOOD MART CAFE CAMANO WA,22.2,Miscellaneous
ELGER BAY FOOD MART CAMANO ISLANDWA,147.3,
English Heritage Trust Swindon,45.5,Miscellaneous
ENTERPRISE RENT-A-CAR LAS VEGAS NV,478.1,
ETHIOPIAN AI0714402844034NAIROBI,20.2,Miscellaneous
ETHIOPIAN AI7173799791384800-4452733 VA,949.0,
EXCLUSIVE BOOKS AIRPOR Kempton Park,36.7,Miscellaneous
EXCLUSIVE BOOKS WATERF Cape Town,21.5,Miscellaneous
EXEC AIR INC OF MONTANA HELENA MT,475.7,
EXECUTIVE AIR TAXI CORP. BISMARCK ND,683.5,
EXPEDIA 72067776170749 EXPEDIA.COM WA,298.9,
EXPEDIA 72067777964197 EXPEDIA.COM WA,568.2,
EXPEDIA 73062267828670 EXPEDIA.COM WA,3724.8,
EXPEDIA 73063315439405 EXPEDIA.COM WA,961.4,
EXPEDIA 73063336852687 EXPEDIA.COM WA,24.0,Miscellaneous
EXPEDIA 73084548923059 EXPEDIA.COM WA,411.0,
EXPEDIA 73085471437070 EXPEDIA.COM WA,288.4,
EXPEDIA 73098705690268 EXPEDIA.COM WA,704.4,
EXPEDIA 73216014890497 EXPEDIA.COM WA,15.6,Miscellaneous
EXPEDIA 73220320765207 EXPEDIA.COM WA,215.5,
EXPEDIA 73244879778030 EXPEDIA.COM WA,146.1,
EXPEDIA 73264028341883 EXPEDIA.COM WA,65.3,Miscellaneous
EYE SOCIETY BELLEVUE BELLEVUE WA,1059.2,
FAA MEDICAL EXAMS INC SEATTLE WA,190.0,
FAIRFIELD INN & SUITES DES MOINES IA,152.3,
FAIRFIELD INN & SUITES DETROIT LAKESMN,193.2,
Fat Tire Tours Holdings L732-9153680 TX,52.1,Miscellaneous
FIRST LIGHT CONDO FIRSTLIGHTSEAWA,51.9,Miscellaneous
FORD OF KIRKLAND/HYUNDAI KIRKLAND WA,1623.8,
FOREFLIGHT LLC 855-583-5087 TX,1065.6,
FRAUD DISPUTE,-61.5,Miscellaneous
FSP*EASTSIDE LIMOUSINE 425-558-4755 WA,1770.0,
Garmin 800-5112459 ME,529.7,
GATEWAY AIRPORT AUTHORI POLOKWANE,24.1,Miscellaneous
GAUTRAIN ORTIA TVM GAUTENG,27.7,Miscellaneous
GEG PEETES COFFEE C 2310 SPOKANE WA,10.0,Miscellaneous
GEG RIVERSIDE CAFE 1118 SPOKANE WA,36.4,Miscellaneous
GIANT 2381 WASHINGTON DC,55.4,Miscellaneous
GIRLSCOUTSN 202-274-337 DC,37.0,Miscellaneous
GO RENTALS COE HAYDEN ID,372.6,
GRAMMARLY CO*VOLZ7RU GRAMMARLY.COMCA,139.9,
GUARDIAN PEAK 112631 STELLENBOSCH,93.6,Miscellaneous
GWL GRAND MOUND WOODS 800-6409653 WA,14.4,Miscellaneous
H ST HAIR WASHINGTON DC,78.0,Miscellaneous
HAGGEN 3480 STANWOOD WA,5.3,Miscellaneous
HANDSOME LION ENTERPRIS LIVINGSTONE,1.8,Miscellaneous
HERRERIA ROSAS SN MIGUEL DE,1875.0,
HERTZ IXTAPA MXN ZIHUATANEJO D,2239.5,
HERZL NERTAMID H-NT.SHULCLOUWA,45.0,Miscellaneous
HOMOS FOL ABU ALI FORADES,43.5,Miscellaneous
HORODATEURS AUT 2327664 37/TOURS,4.0,Miscellaneous
HOT PRESENT MOMENT I LA UNION DE I,237.0,
HOTEL EDEN LA UNION GRO,604.8,
HOTEL SAFARI WINDHOEK,63.6,Miscellaneous
HUDSON ST 1504 SEATTLE WA,4.2,Miscellaneous
HUDSONNEWS ST1185 DES PLAINES IL,39.7,Miscellaneous
HYATT REG LKE WSHGTN F&B RENTON WA,507.6,
IC OR TAMBO KEMPTON PARK,63.2,Miscellaneous
IL BISTRO SEATTLE WA,378.8,
IN FLIGHT PURCHASE REBATE,-295.6,Miscellaneous
IN FLIGHT REBATE ADJ,295.6,
INTEREST CHARGED ON BANK CASH ADVANCES,2.6,Miscellaneous
ISLAND COUNTY CAMANO OUTBCAMANO ISLANDWA,133.8,
JANES RADIANT 425-267-0202 WA,5982.9,
JEPPESEN SANDERSON 800-621-5377 CO,619.3,
JOECOFFEE-CAFFE LADRO 120-65313212 WA,7.7,Miscellaneous
JUDYS COUNTRY KITCHEN LLCCENTRALIA WA,57.7,Miscellaneous
KATHAKALI AN INDIAN EATERKIRKLAND WA,111.1,
KING COUNTY PROP TAX PMNT888-8916064 WA,637.0,
KONFIO*SERV TICTOC VALLE DE BRAV,307.4,
KOUSATHANAS EL KAI S VOULIAGMENI,110.6,
KOZA TURKISH GROCERY KIRKLAND WA,109.3,
LA REAL DE MICHOACAN HENDERSON NV,102.3,
LAZ PARKING ECOMMERCE HARTFORD CT,18.6,Miscellaneous
LES 4 SAISONS AMBOISE,23.6,Miscellaneous
LES SCHWAB #419 BELLEVUE WA,2711.5,
LIGHTNINGSRC/INGMSPK 800-509-4156 TN,47.9,Miscellaneous
LIMNH VOULIAGMENIS BOYLIAGMEN,40.0,Miscellaneous
LOCALS ESPRESSO 3 STANWOOD WA,3.5,Miscellaneous
LONDON THEATRE DIRECT LONDON,178.5,
LS SNAPDOODLE TOYS & G 425-4080021 WA,46.6,Miscellaneous
LUFTHANSA 2202221413860KOLN,794.4,
LUFTHANSA 2202221414324KOLN,6629.5,
LUFTHANSA 2202230313805KOLN,265.8,
LUFTHANSA 2202230814971KOLN,468.2,
LUFTHANSA 2202232218058KOLN,147.7,
LUFTHANSA 2202232244968KOLN,114.2,
LW Theatres Group Limitedlondon,334.3,
LYFT *CAPITALBIKE RI LYFT.COM CA,4.9,Miscellaneous
M&S CATERING SEATTLE SEATTLE WA,90.9,Miscellaneous
MACPHERSON PRODUCE SEATTLE WA,27.4,Miscellaneous
MANCHU WOK T1C ORD CHICAGO IL,15.6,Miscellaneous
MANDALAY - CITIZENS LAS VEGAS NV,147.6,
MANDALAY - MOOREA BAR LAS VEGAS NV,475.0,
MANDALAY - NOODLE SHOP LAS VEGAS NV,561.8,
MANDALAY BAY HTL SELF PA LAS VEGAS NV,60.0,Miscellaneous
MASTORIS ILIAS THIVA,10.9,Miscellaneous
mcafee.com/autorenewal 866-6223911 CA,132.2,
MCDONALD'S F7026 EVERETT WA,8.0,Miscellaneous
MEDIUM ANNUAL MEDIUM.COM CA,50.0,Miscellaneous
MERCER ISLAND TRUE VALUE MERCER ISLANDWA,28.1,Miscellaneous
MERCER NAILS & SPA MERCER ISLANDWA,452.0,
MERPAGO*JEAN CIUDAD DE MEX,260.6,
METROPOLIS PARKING METROPOLIS.IOTN,77.9,Miscellaneous
METROPOLITAN MARKET KIRKLAND WA,58.1,Miscellaneous
METROPOLITAN MARKET MERCER ISLANDWA,446.5,
MGMRI - SHARK REEF 185-52755733 NV,178.0,
MHAISS HOSEA KUTAKO WINDHOEK,187.5,
MICHAEL'S TOYOTA OF BELL BELLEVUE WA,1980.6,
MIXTA SAN MIGUEL SAN MIGUEL DE,114.9,
MOD PIZZA SEATTLE CNTR SEATTLE WA,10.6,Miscellaneous
MON PETIT POULET PARIS 17,13.3,Miscellaneous
Mount Vernon Mount Vernon VA,71.0,Miscellaneous
MPS*THE ISRAELI CENT RAMAT HA'SHAR,50.4,Miscellaneous
MUGG AND BEAN DOMESTI KEMPTON PARK,17.6,Miscellaneous
MUSEO CIUDAD DE MEX,53.5,Miscellaneous
MUSIC FOR THE EYES LANGLEY WA,1150.0,
MUSTANG AVIATION PIERRE SD,865.2,
MWIBA HOLDINGS S3057031ARUSHA,840.0,
MY CHOICE SOFTWARE LLC 800-3181439 CA,230.0,
N.O.T. UK LIMITED LONDON,5.4,Miscellaneous
NAC EROS AIRPORT WINDHOEK,20.8,Miscellaneous
NANDO'S PERI PERI #028 WASHINGTON DC,20.1,Miscellaneous
National Airport0016626LUSAKA,186.1,
NATIONAL AIRPORTS LSTON Livingstone,74.3,Miscellaneous
NEA ODOS AE KAPANDRITI,8.8,Miscellaneous
NEA ODOS AE MARTINO,5.1,Miscellaneous
NEA ODOS AE THIVA,10.3,Miscellaneous
Netflix 1 8445052993 CA,17.1,Miscellaneous
Netflix.com 408-5403700 CA,79.3,Miscellaneous
Netflix.com netflix.com CA,36.9,Miscellaneous
NETFLIX.COM NETFLIX.COM CA,79.3,Miscellaneous
NORTH IDAHO JET HAYDEN LAKE ID,743.2,
NOTRE DAME PARIS PARIS,11.6,Miscellaneous
NY REVIEW OF BOOKS 800-354-0050 NY,129.9,
O.D.A.P. ROMAIKI AGORA DELFI,47.0,Miscellaneous
OLYMPOUS PLAZA 76 ATALANTI,6.8,Miscellaneous
Online payment from CHK 9942,-182678.3,Miscellaneous
OPENAI *CHATGPT SUBSCR OPENAI.COM CA,242.4,
ORCA 8889886722 WA,3.0,Miscellaneous
ORCHARDS NURSERY STANWOOD WA,1140.8,
OSPREY RESTAURANT AND B 509-5345805 WA,120.4,
Pacific Northwest Ball Seattle WA,219.0,
PAGLIACCI JUANITA KIRKLAND WA,11.4,Miscellaneous
PALAZZO SHOWROOM BAR LAS VEGAS NV,7.6,Miscellaneous
"ParkWhiz, Inc. Chicago IL",62.9,Miscellaneous
PASS ZATD WWW.TRAVELDOC,74.0,Miscellaneous
PAUL ST PAULS LONDON,12.0,Miscellaneous
PAYMENT - THANK YOU,-6962.5,Miscellaneous
PERFORMANCE HOME MEDICAL 253-852-5612 WA,63.5,Miscellaneous
Perkins Coie SEATTLE WA,70.0,Miscellaneous
PETER MILLER BOOKS SEATTLE WA,295.7,
PHEASANTS FURY AVIATION L605-3769708 SD,613.2,
PnP Crp Waterfront WATERFRONT,27.0,Miscellaneous
PnP Fam Springs Gate SPRINGS,157.8,
POINTMP*DANI CIUDAD DE MEX,16.9,Miscellaneous
PORT OF SOUTH WHIDBEY COUPEVILLE WA,7.0,Miscellaneous
PORTUGUES FISHERMAN RES LUDERITZ,309.4,
Posthotel Leavenworth 509-5487678 WA,775.6,
POSTNET VA WATERFRONT CAPE TOWN,36.9,Miscellaneous
PREMIER NAILS & SPA MERCER ISLANDWA,370.0,
PREMIUM PARKING PREMIUMPARKINLA,41.0,Miscellaneous
PRET A MANGER HEATHROW,20.1,Miscellaneous
PRET A MANGER LONDON,30.7,Miscellaneous
PUMA ENERGY NAM-EROS A WINDHOEK,1409.4,
PUMA ENERGY ZAMBIA PLC LIVINGSTONE,665.3,
PUMA ENERGY ZAMBIA PLC LUSAKA,693.4,
PWK ATLANTIC WHEELING 847-8080812 IL,909.1,
QFC #5806 MERCER ISLANDWA,220.3,
QFC #5859 BELLEVUE WA,8.6,Miscellaneous
RAMC AIRCRAFT FUEL GERMISTON,963.9,
RATP PARIS,5.8,Miscellaneous
RECREATION.GOV ALBUQUERQUE NM,22.0,Miscellaneous
REGISTERED AGENT - WA SINGLEFILE.IOWA,300.0,
REST EL CARDENAL LA AL CIUDAD DE MEX,63.0,Miscellaneous
REST EL PEGASO SN MIGUEL DE,49.7,Miscellaneous
REST IS POLITICS US UCKFIELD,81.4,Miscellaneous
REST MI JAR LA UNION DE I,147.7,
REST MI JARDIN TRONCON LA UNION DE I,34.6,Miscellaneous
REST PRESENT MOMENT LA UNION DE I,96.5,Miscellaneous
RESTAURANT INDIGO ZIHUATANEJO D,1289.0,
RITE AID 05197 MERCER ISLANDWA,53.7,Miscellaneous
ROYAL BANK UK / TESCO NRTH HA,369.8,
RYANMCBETH.COM RYANMCBETH.COMD,100.0,
SAHARA PIZZA - 102ND AVE STANWOOD WA,124.3,
SAHARA PIZZA - MERCER ISLMERCER ISLANDWA,56.8,Miscellaneous
SAIGON MARKET CEDAR RAPIDS IA,10.8,Miscellaneous
SAM CHOY TO THE MAXSEATACSEATAC WA,98.5,Miscellaneous
SANTA ROSA JET CENTER SANTA ROSA CA,904.2,
SARANJEET SINGH SHAG CAB 206-8986775 WA,81.6,Miscellaneous
SBUX SEATTLE WA,5.2,Miscellaneous
SCHOLASTIC BOOK FAIRS R4 LAKE MARY FL,26.4,Miscellaneous
SCIENCE MUSEUM LONDON,10.2,Miscellaneous
Scribd *589159419 415-2336230 CA,145.5,
SDOT PAYBYPHONE PARKING 206-684-2489 WA,20.4,Miscellaneous
SDOT PAYBYPHONE PARKING 206-684-5260 WA,8.5,Miscellaneous
SEA AIRPORT PARKING 2067874069 WA,74.0,Miscellaneous
SEATTLE CENTER MERCER SEATTLE WA,45.0,Miscellaneous
SEATTLE MUNI INT #950003 800-950-1292 WA,246.6,
SHAKE SHACK - 1230 KIRKLAND WA,26.1,Miscellaneous
SHELL LANSERIA Krugersdorp,4.8,Miscellaneous
SHERATON LOS ANGELES CA,166.9,
SIGNATURE FLIGHT SUPPO CAPE TOWN,1346.5,
SLING.COM 888-363-1777 CO,139.9,
SOAMES HOTEL&JACKS BAR NANYUKI,711.5,
Solitaire Country Lod G Sesriem,11.8,Miscellaneous
SORIANA939 ZIHUATANEJO ZIHUATANEJO D,626.7,
SOSIO'S PRODUCE SEATTLE WA,43.0,Miscellaneous
SPHERE-CONCESSIONS LAS VEGAS NV,45.4,Miscellaneous
SPO*CASCADIAPIZZACO-BELLEBELLEVUE WA,26.9,Miscellaneous
SPO*WHISKEYCREEKWOODFIREGBROOKINGS SD,46.3,Miscellaneous
SPORTY'S CATALOGS 513-735-9000 OH,792.5,
SQ *ALL CITY COFFEE Seattle WA,20.1,Miscellaneous
SQ *ANDRII CO. Kirkland WA,11.0,Miscellaneous
SQ *AXUM FOODS LLC Seattle WA,5.4,Miscellaneous
SQ *BRIOCHE COFFEE & BRUNLondon,52.1,Miscellaneous
SQ *BROOKINGS TAXI SERVICBROOKINGS SD,10.9,Miscellaneous
SQ *CITY CRUISES London,23.3,Miscellaneous
SQ *DERU MARKET Kirkland WA,9.9,Miscellaneous
"SQ *FEDELE OXFORD LTD High Street,",13.6,Miscellaneous
SQ *FUZZY INK Riverdale MD,34.0,Miscellaneous
SQ *GREEN CAB AIRPORT TAXMercer IslandWA,77.0,Miscellaneous
SQ *ISLAND BOOKS MERCER ISLANDWA,19.8,Miscellaneous
SQ *KRISTOFERSON FARM Camano IslandWA,309.8,
SQ *LA FETE PATISSERIE Mercer IslandWA,26.7,Miscellaneous
SQ *LA FETE PATISSERIE MERCER ISLANDWA,13.1,Miscellaneous
SQ *MACRINA - MERCER ISLAMercer IslandWA,18.2,Miscellaneous
SQ *MACRINA BAKERY - SODOSeattle WA,18.7,Miscellaneous
SQ *MIRIAM?S BAKESHOP Mercer IslandWA,39.0,Miscellaneous
SQ *MOLLY MOON'S COLUMBIASeattle WA,76.9,Miscellaneous
SQ *MUSTARD SEED BAKING CStanwood WA,27.3,Miscellaneous
SQ *NIJEBA SHIKURI Seattle WA,47.2,Miscellaneous
SQ *PACCI?S WASHINGTON DC,166.4,
SQ *SEATTLE : FACEPAINT Seattle WA,26.0,Miscellaneous
SQ *SEATTLE GRAND CENTRALSeattle WA,27.9,Miscellaneous
SQ *SEATTLE POPS - FARMERSeattle WA,13.5,Miscellaneous
SQ *SHAWN'S CAFE & BAKERYMercer IslandWA,19.8,Miscellaneous
SQ *SIDAMO COFFEE AND TEAWashington DC,61.1,Miscellaneous
SQ *SUGAR BAKERY & CAFE Seattle WA,10.7,Miscellaneous
SQ *SWING'S COFFEE ROASTEAlexandria VA,9.7,Miscellaneous
SQ *TAXI 306 Seattle WA,38.4,Miscellaneous
SQ *THAI THAI KITCHEN STAStanwood WA,723.5,
"SQ *TINY'S ORGANIC, LLC Seattle WA",14.2,Miscellaneous
SQ *TRUE NORTH BAKERY Burlington WA,58.4,Miscellaneous
SQ *WENDY SIMPLY COOKS Tukwila WA,60.5,Miscellaneous
STANWOOD CINEMAS B&M STANWOOD WA,198.5,
STARBUCKS 03310 MERCER ISLANDWA,13.2,Miscellaneous
STARBUCKS 03702 SEATTLE WA,4.4,Miscellaneous
