Date:TEXT,Payee:TEXT,Address:TEXT,Amount:TEXT
2025-01-07,VIRGINIA MASON FRONT DESKSEATTLE WA,SEATTLE       WA,-95
2025-01-07,AMAZING CARPET AND TIL amazingcarpetCA,amazingcarpet CA,-880
2025-01-07,TST*CAMANO COMMONS Camano IslandWA,Camano Island WA,-23.52
2025-01-08,TPD FIRST HILL 117 SEATTLE WA,SEATTLE       WA,-13.22
2025-01-08,AMATO DENTAL GROUP SEATTLE WA,SEATTLE       WA,-69.63
2025-01-08,METROPOLIS PARKING METROPOLIS.IOTN,METROPOLIS.IO TN,-9.99
2025-01-08,GEG RIVERSIDE CAFE 1118 SPOKANE WA,SPOKANE       WA,-36.37
2025-01-09,DELIVEROO LONDON,,-43.57
2025-01-09,METROPOLITAN MARKET MERCER ISLANDWA,MERCER ISLAND WA,-3.31
2025-01-09,Online payment from CHK 9942,,6962.51
2025-01-10,DELIVEROO LONDON,,-27.03
2025-01-10,FSP*EASTSIDE LIMOUSINE 425-558-4755 WA,425-558-4755  WA,-96
2025-01-10,TST*TUTTA BELLA NEAPOLIT Seattle WA,Seattle       WA,-134.91
2025-01-11,DELIVEROO LONDON,,-31.22
2025-01-13,Netflix 1 8445052993 CA,1 8445052993  CA,-17.07
2025-01-13,TFL TRAVEL CH TFL.GOV.UK/CP,,-9.99
2025-01-13,DELIVEROO LONDON,,-23.42
2025-01-13,N.O.T. UK LIMITED LONDON,,-5.43
2025-01-13,TXW*LONDON TAXI 75240 GLASGOW,,-34.78
2025-01-13,MY CHOICE SOFTWARE LLC 800-3181439 CA,800-3181439   CA,-229.99
2025-01-13,TFL TRAVEL CH TFL.GOV.UK/CP,,-6.66
2025-01-13,WAITROSE 641 KNIGHTSBRIDGE,,-22.48
2025-01-13,TFL TRAVEL CH TFL.GOV.UK/CP,,-3.45
2025-01-14,WAITROSE 641 KNIGHTSBRIDGE,,-25.7
2025-01-14,DELIVEROO LONDON,,-23.48
2025-01-14,Garmin 800-5112459 ME,800-5112459   ME,-16.47
2025-01-14,ZETTLE_*SCOTT WOLSEY BARNET,,-35.76
2025-01-15,VICTORIA&ALBERT MUSEUM LONDON,,-21.76
2025-01-15,PAUL ST PAULS LONDON,,-11.98
2025-01-15,LONDON THEATRE DIRECT LONDON,,-178.46
2025-01-15,TFL TRAVEL CH TFL.GOV.UK/CP,,-3.3
2025-01-15,DELIVEROO LONDON,,-23.17
2025-01-15,APPLE UK R329 LONDON,,-615.37
2025-01-16,PAYMENT - THANK YOU,,6962.51
2025-01-16,THE KENSINGTON CREPERI LONDON,,-10.35
2025-01-16,DELIVEROO LONDON,,-41.28
2025-01-16,DELIVEROO LONDON,,-14.7
2025-01-16,DELIVEROO LONDON,,-23.65
2025-01-16,TFL TRAVEL CH TFL.GOV.UK/CP,,-10.42
2025-01-16,SLING.COM 888-363-1777 CO,888-363-1777  CO,-10
2025-01-18,FRAUD DISPUTE,,14.7
2025-01-20,FRAUD DISPUTE,,23.17
2025-01-20,FRAUD DISPUTE,,23.65
2025-01-24,METROPOLITAN MARKET MERCER ISLANDWA,MERCER ISLAND WA,-41.03
2025-01-24,METROPOLITAN MARKET MERCER ISLANDWA,MERCER ISLAND WA,-3.31
2025-01-24,SQ *LA FETE PATISSERIE Mercer IslandWA,Mercer Island WA,-18.69
2025-01-25,METROPOLITAN MARKET MERCER ISLANDWA,MERCER ISLAND WA,-238.41
2025-01-25,KOZA TURKISH GROCERY KIRKLAND WA,KIRKLAND      WA,-69.92
2025-01-25,SQ *SHAWN'S CAFE & BAKERYMercer IslandWA,Mercer Island WA,-19.84
2025-01-25,SQ *LA FETE PATISSERIE Mercer IslandWA,Mercer Island WA,-8
2025-01-27,Garmin 800-5112459 ME,800-5112459   ME,-13.17
2025-01-27,Garmin 800-5112459 ME,800-5112459   ME,-13.17
2025-01-27,OPENAI *CHATGPT SUBSCR OPENAI.COM CA,OPENAI.COM    CA,-22.04
2025-01-28,SQ *THAI THAI KITCHEN STAStanwood WA,Stanwood      WA,-198.51
2025-01-28,HERZL NERTAMID H-NT.SHULCLOUWA,H-NT.SHULCLOU WA,-45
2025-01-30,RITE AID 05197 MERCER ISLANDWA,MERCER ISLAND WA,-53.7
2025-01-31,SEATTLE CENTER MERCER SEATTLE WA,SEATTLE       WA,-45
2025-01-31,STARBUCKS STORE 03278 BELLEVUE WA,BELLEVUE      WA,-4.85
2025-01-31,TST*TUTTA BELLA NEAPOLIT Seattle WA,Seattle       WA,-123.86
2025-01-31,TST*CAMANO COMMONS Camano IslandWA,Camano Island WA,-11.36
2025-01-31,TST*CAMANO COMMONS Camano IslandWA,Camano Island WA,-16.81
2025-02-01,METROPOLITAN MARKET MERCER ISLANDWA,MERCER ISLAND WA,-4.42
2025-02-01,DIGITALOCEAN.COM DIGITALOCEAN.NY,DIGITALOCEAN. NY,-13.22
2025-02-01,TST* BEECHER'S HANDMADE CBELLEVUE WA,BELLEVUE      WA,-16.26
2025-02-01,TST* BEECHER'S HANDMADE CBELLEVUE WA,BELLEVUE      WA,-45.15
2025-02-01,AT *KIDSQUEST CHILD'S MUSBELLEVUE WA,BELLEVUE      WA,-225
2025-02-03,MPS*THE ISRAELI CENT RAMAT HA'SHAR,,-50.39
2025-02-03,SQ *SIDAMO COFFEE AND TEAWashington DC,Washington    DC,-8.54
2025-02-03,UBER *TRIP HELP.UBER.COMCA,HELP.UBER.COM CA,-60.39
2025-02-03,SQ *SIDAMO COFFEE AND TEAWashington DC,Washington    DC,-5.28
2025-02-03,SQ *SIDAMO COFFEE AND TEAWashington DC,Washington    DC,-3.85
2025-02-03,UBER *TRIP HELP.UBER.COMCA,HELP.UBER.COM CA,-13
2025-02-03,UBER *TRIP HELP.UBER.COMCA,HELP.UBER.COM CA,-65
2025-02-03,Mount Vernon Mount Vernon VA,Mount Vernon  VA,-71
2025-02-03,FSP*EASTSIDE LIMOUSINE 425-558-4755 WA,425-558-4755  WA,-102
2025-02-04,AMAZON RETA* JQ1G71GN3 WWW.AMAZON.COWA,WWW.AMAZON.CO WA,-13.38
2025-02-04,AVIS.COM PREPAY 8003527900 VA,8003527900    VA,-122.54
2025-02-04,FSP*EASTSIDE LIMOUSINE 425-558-4755 WA,425-558-4755  WA,-102
2025-02-04,SQ *SWING'S COFFEE ROASTEAlexandria VA,Alexandria    VA,-9.71
2025-02-05,LYFT *CAPITALBIKE RI LYFT.COM CA,LYFT.COM      CA,-4.9
2025-02-05,AMZN Mktp US*Z771R4XP0 Amzn.com/billWA,Amzn.com/bill WA,-601.66
2025-02-06,SQ *SIDAMO COFFEE AND TEAWashington DC,Washington    DC,-9.49
2025-02-06,Scribd *589159419 415-2336230 CA,415-2336230   CA,-13.23
2025-02-06,TST* TATTE BAKERY CITY CEWASHINGTON DC,WASHINGTON    DC,-40.85
2025-02-07,TST*YELLOW - UNION MARKE Washington DC,Washington    DC,-21.39
2025-02-07,TST*YELLOW - UNION MARKE Washington DC,Washington    DC,-102.41
2025-02-07,WHOLEFDS HST#10565 WASHINGTON DC,WASHINGTON    DC,-68.6
2025-02-07,AVIS.COM PREPAY 800-352-7900 VA,800-352-7900  VA,72.54
2025-02-07,SQ *SIDAMO COFFEE AND TEAWashington DC,Washington    DC,-10.12
2025-02-07,TST* STARR - PASTIS DC WASHINGTON DC,WASHINGTON    DC,-480.4
2025-02-08,GIANT 2381 WASHINGTON DC,WASHINGTON    DC,-55.44
2025-02-08,SQ *SIDAMO COFFEE AND TEAWashington DC,Washington    DC,-9.11
2025-02-08,BARNES & NOBLE #2867 ALEXANDRIA VA,ALEXANDRIA    VA,-5.49
2025-02-08,BARNES & NOBLE #2867 ALEXANDRIA VA,ALEXANDRIA    VA,-17.42
2025-02-08,BARNES & NOBLE #2867 ALEXANDRIA VA,ALEXANDRIA    VA,-7.19
2025-02-08,BARNES & NOBLE #2867 ALEXANDRIA VA,ALEXANDRIA    VA,-74.17
2025-02-08,BARNES & NOBLE #2867 ALEXANDRIA VA,ALEXANDRIA    VA,-44.51
2025-02-10,UBER *TRIP HELP.UBER.COMCA,HELP.UBER.COM CA,-33.74
2025-02-10,441 INSIDE THE BELTWAY LAS VEGAS DC,LAS VEGAS     DC,-3.32
2025-02-10,441 INSIDE THE BELTWAY LAS VEGAS DC,LAS VEGAS     DC,-15.14
2025-02-10,SQ *SIDAMO COFFEE AND TEAWashington DC,Washington    DC,-14.67
2025-02-10,NANDO'S PERI PERI #028 WASHINGTON DC,WASHINGTON    DC,-20.1
2025-02-10,UBER *TRIP HELP.UBER.COMCA,HELP.UBER.COM CA,-13.47
2025-02-11,HUDSONNEWS ST1185 DES PLAINES IL,DES PLAINES   IL,-39.71
2025-02-11,MANCHU WOK T1C ORD CHICAGO IL,CHICAGO       IL,-15.63
2025-02-12,TST* LOS CHILANGOS KIRKLAKIRKLAND WA,KIRKLAND      WA,-63.78
2025-02-12,ARUGULA AND RYE DES MOINES IA,DES MOINES    IA,-10.68
2025-02-12,FAIRFIELD INN & SUITES DES MOINES IA,DES MOINES    IA,-152.32
2025-02-12,WICKER PARK SUSHI ORD CHICAGO IL,CHICAGO       IL,-35.06
2025-02-12,SQ *GREEN CAB AIRPORT TAXMercer IslandWA,Mercer Island WA,-77.04
2025-02-13,TST*TUTTA BELLA NEAPOLIT Seattle WA,Seattle       WA,-65.83
2025-02-13,METROPOLITAN MARKET MERCER ISLANDWA,MERCER ISLAND WA,-4.99
2025-02-13,METROPOLITAN MARKET MERCER ISLANDWA,MERCER ISLAND WA,-8.73
2025-02-13,METROPOLITAN MARKET MERCER ISLANDWA,MERCER ISLAND WA,-3.31
2025-02-13,VM PARKING BUCK VALET SEATTLE WA,SEATTLE       WA,-5
2025-02-13,SQ *TRUE NORTH BAKERY Burlington WA,Burlington    WA,-18.88
2025-02-13,VIRGINIA MASON MEDICAL CE206-2236601 WA,206-2236601   WA,-196.6
2025-02-14,Garmin 800-5112459 ME,800-5112459   ME,-16.47
2025-02-14,CORPORATE AIR CENTER BURLINGTON WA,BURLINGTON    WA,-186.2
2025-02-14,SQ *ALL CITY COFFEE Seattle WA,Seattle       WA,-9.86
2025-02-14,Netflix.com netflix.com CA,netflix.com   CA,-17.07
2025-02-15,ISLAND COUNTY CAMANO OUTBCAMANO ISLANDWA,CAMANO ISLAND WA,-14.75
2025-02-15,SDOT PAYBYPHONE PARKING 206-684-5260 WA,206-684-5260  WA,-0.5
2025-02-15,TST*FONDA LA CATRINA Seattle WA,Seattle       WA,-160.33
2025-02-17,SLING.COM 888-363-1777 CO,888-363-1777  CO,-12.99
2025-02-17,ZOOM.COM 888-799-9666 ZOOM.US CA,ZOOM.US       CA,-165.19
2025-02-17,TST*CAMANO COMMONS Camano IslandWA,Camano Island WA,-16.49
2025-02-18,BOOK SHOP JERUSALEM,,-56.5
2025-02-18,UBER *TRIP HELP.UBER.COMCA,HELP.UBER.COM CA,-67.88
2025-02-18,UBER *TRIP HELP.UBER.COMCA,HELP.UBER.COM CA,-7
2025-02-18,WSFERRIES-COLMAN DOCK SEATTLE WA,SEATTLE       WA,-10.25
2025-02-18,TST*CAMANO COMMONS Camano IslandWA,Camano Island WA,-20.98
2025-02-19,METROPOLITAN MARKET MERCER ISLANDWA,MERCER ISLAND WA,-6.9
2025-02-19,TST* EGG & US - ISSAQUAH ISSAQUAH WA,ISSAQUAH      WA,-32.9
2025-02-20,QFC #5806 MERCER ISLANDWA,MERCER ISLAND WA,-40.31
2025-02-20,EASTSIDE MOBILE AUTO GLAS206-255-7827 WA,206-255-7827  WA,-1024.78
2025-02-21,TPD JUANITA 119 KIRKLAND WA,KIRKLAND      WA,-14.64
2025-02-21,SEATTLE MUNI INT #950003 800-950-1292 WA,800-950-1292  WA,-246.6
2025-02-21,VMO*VIMEO.COM 848-359-5618 NY,848-359-5618  NY,-119.02
2025-02-21,METROPOLIS PARKING METROPOLIS.IOTN,METROPOLIS.IO TN,-9.99
2025-02-24,THE MUSEUM OF FLIGHT MAINTUKWILA WA,TUKWILA       WA,-42.87
2025-02-24,SQ *MUSTARD SEED BAKING CStanwood WA,Stanwood      WA,-8.33
2025-02-24,SQ *THAI THAI KITCHEN STAStanwood WA,Stanwood      WA,-136.41
2025-02-24,CAMANO ISLAND COFFEE R CAMANO ISLANDWA,CAMANO ISLAND WA,-12.5
2025-02-25,LUFTHANSA 2202221413860KOLN,,-794.4
2025-02-25,LUFTHANSA 2202221414324KOLN,,-6629.52
2025-02-25,GIRLSCOUTSN 202-274-337 DC,202-274-337   DC,-36.99
2025-02-25,REGISTERED AGENT - WA SINGLEFILE.IOWA,SINGLEFILE.IO WA,-100
2025-02-25,M&S CATERING SEATTLE SEATTLE WA,SEATTLE       WA,-40.22
2025-02-25,TST*MERCURYS COFFEE - T Kirkland WA,Kirkland      WA,-5.68
2025-02-25,TRADER JOE S #132 KIRKLAND WA,KIRKLAND      WA,-49.48
2025-02-26,Garmin 800-5112459 ME,800-5112459   ME,-13.17
2025-02-26,SQ *MUSTARD SEED BAKING CStanwood WA,Stanwood      WA,-18.96
2025-02-26,OPENAI *CHATGPT SUBSCR OPENAI.COM CA,OPENAI.COM    CA,-22.04
2025-02-27,AMRIKAN TOIL TEL AVIV,,-52.79
2025-02-27,trainline +443332022222,,-41.16
2025-02-27,trainline +443332022222,,-371.15
2025-02-27,trainline +443332022222,,-328.36
2025-02-27,trainline +443332022222,,-35.27
2025-02-27,trainline +443332022222,,33.57
2025-02-27,TST*TUTTA BELLA NEAPOLIT Seattle WA,Seattle       WA,-65.83
2025-02-27,METROPOLITAN MARKET MERCER ISLANDWA,MERCER ISLAND WA,-3.31
2025-02-27,Garmin 800-5112459 ME,800-5112459   ME,-13.17
2025-02-27,AIRBNB * HMSNQAB3MZ AIRBNB.COM CA,AIRBNB.COM    CA,-414.29
2025-02-28,TPD FIRST HILL 117 SEATTLE WA,SEATTLE       WA,-13.05
2025-02-28,HOMOS FOL ABU ALI FORADES,,-43.49
2025-02-28,VIRGINIA MASON FRONT DESKSEATTLE WA,SEATTLE       WA,-95
2025-02-28,QFC #5859 BELLEVUE WA,BELLEVUE      WA,-8.56
2025-02-28,SQ *TRUE NORTH BAKERY Burlington WA,Burlington    WA,-17.9
2025-02-28,8991 GREAT CLIPS AT ISLANMERCER ISLANDWA,MERCER ISLAND WA,-33
2025-03-01,STARBUCKS 03702 SEATTLE WA,SEATTLE       WA,-4.36
2025-03-01,DIGITALOCEAN.COM DIGITALOCEAN.NY,DIGITALOCEAN. NY,-13.22
2025-03-01,SQ *MACRINA BAKERY - SODOSeattle WA,Seattle       WA,-18.67
2025-03-01,CORPORATE AIR CENTER BURLINGTON WA,BURLINGTON    WA,-111.84
2025-03-01,TST* BURGERMASTER - BELLEBELLEVUE WA,BELLEVUE      WA,-46.25
2025-03-03,ARKIA BNEY BRAK,,-30
2025-03-03,TPD JUANITA 119 KIRKLAND WA,KIRKLAND      WA,-34.66
2025-03-03,WSDOT-GOODTOGO ONLINE RENTON WA,RENTON        WA,-100
2025-03-03,SEA AIRPORT PARKING 2067874069 WA,2067874069    WA,-74
2025-03-04,SQ *LA FETE PATISSERIE MERCER ISLANDWA,MERCER ISLAND WA,-13.12
2025-03-04,LS SNAPDOODLE TOYS & G 425-4080021 WA,425-4080021   WA,-46.62
2025-03-04,Online payment from CHK 9942,,8959.14
2025-03-05,DIAMOND PARKING parkmobilecomWA,parkmobilecom WA,-32.21
2025-03-05,TST*SANO CAFE Mercer IslandWA,Mercer Island WA,-22.5
2025-03-05,TRADER JOE S #132 KIRKLAND WA,KIRKLAND      WA,-25.75
2025-03-06,TST*TUTTA BELLA NEAPOLIT Seattle WA,Seattle       WA,-84.08
2025-03-06,THE UPS STORE 1081 510-5176645 WA,510-5176645   WA,-15
2025-03-06,MEDIUM ANNUAL MEDIUM.COM CA,MEDIUM.COM    CA,-50
2025-03-06,Scribd *589159419 415-2336230 CA,415-2336230   CA,-13.23
2025-03-07,UBER *TRIP HELP.UBER.COMCA,HELP.UBER.COM CA,-72.72
2025-03-07,HUDSON ST 1504 SEATTLE WA,SEATTLE       WA,-4.18
2025-03-07,FSP*EASTSIDE LIMOUSINE 425-558-4755 WA,425-558-4755  WA,-102
2025-03-07,THE UPS STORE 1081 510-5176645 WA,510-5176645   WA,-15
2025-03-07,UBER *TRIP HELP.UBER.COMCA,HELP.UBER.COM CA,-133.49
2025-03-08,HERTZ IXTAPA MXN ZIHUATANEJO D,,-2160.64
2025-03-08,FSP*EASTSIDE LIMOUSINE 425-558-4755 WA,425-558-4755  WA,-102
2025-03-08,RESTAURANT INDIGO ZIHUATANEJO D,,-104.58
2025-03-08,GEG PEETES COFFEE C 2310 SPOKANE WA,SPOKANE       WA,-10.02
2025-03-10,HOT PRESENT MOMENT I LA UNION DE I,,-158.23
2025-03-10,HOT PRESENT MOMENT I LA UNION DE I,,-78.82
2025-03-10,SORIANA939 ZIHUATANEJO ZIHUATANEJO D,,-7.59
2025-03-10,MERPAGO*JEAN CIUDAD DE MEX,,-260.58
2025-03-10,RESTAURANT INDIGO ZIHUATANEJO D,,-16.81
2025-03-10,SHERATON LOS ANGELES CA,LOS ANGELES   CA,-166.91
2025-03-10,SORIANA939 ZIHUATANEJO ZIHUATANEJO D,,-0.89
2025-03-10,SORIANA939 ZIHUATANEJO ZIHUATANEJO D,,-60.44
2025-03-10,SORIANA939 ZIHUATANEJO ZIHUATANEJO D,,-355.54
2025-03-11,REST MI JARDIN TRONCON LA UNION DE I,,-34.61
2025-03-12,ATM - TRANSACTION FEE,,-13.44
2025-03-12,BANCO SANTANDER JOSE AZUETA,,-268.85
2025-03-12,RESTAURANT INDIGO ZIHUATANEJO D,,-768.33
2025-03-13,ATM - TRANSACTION FEE,,-11.4
2025-03-13,XH165709 MISC LA GUERA IIE ZAPATA,,-228.05
2025-03-13,SORIANA939 ZIHUATANEJO ZIHUATANEJO D,,-202.23
2025-03-14,Garmin 800-5112459 ME,800-5112459   ME,-16.47
2025-03-14,Netflix.com 408-5403700 CA,408-5403700   CA,-19.82
2025-03-15,HOTEL EDEN LA UNION GRO,,-604.78
2025-03-15,TRES MUJERES TRONCONES TRONCONES,,-10363.64
2025-03-17,REST PRESENT MOMENT LA UNION DE I,,-96.51
2025-03-17,KONFIO*SERV TICTOC VALLE DE BRAV,,-307.43
2025-03-17,REST MI JAR LA UNION DE I,,-147.67
2025-03-17,RESTAURANT INDIGO ZIHUATANEJO D,,-42.84
2025-03-17,Online payment from CHK 9942,,16644.57
2025-03-17,RESTAURANT INDIGO ZIHUATANEJO D,,-26.43
2025-03-17,SLING.COM 888-363-1777 CO,888-363-1777  CO,-12.99
2025-03-18,ATM - TRANSACTION FEE,,-11.63
2025-03-18,XH165709 MISC LA GUERA IIE ZAPATA,,-232.61
2025-03-19,HERTZ IXTAPA MXN ZIHUATANEJO D,,-78.89
2025-03-19,POINTMP*DANI CIUDAD DE MEX,,-16.88
2025-03-19,UBER* TRIP CIUDAD DE MEX,,-8.3
2025-03-19,UBER* TRIP UBER.COM/MX/E,,-1.01
2025-03-19,RESTAURANT INDIGO ZIHUATANEJO D,,-30.24
2025-03-19,RESTAURANT INDIGO ZIHUATANEJO D,,-299.79
2025-03-20,REST EL CARDENAL LA AL CIUDAD DE MEX,,-62.99
2025-03-20,UBER* TRIP UBER.COM/MX/E,,-1.01
2025-03-20,BICICLETA PUBL ECOBICI CIUDAD DE MEX,,-12.32
2025-03-20,BICICLETA PUBL ECOBICI CIUDAD DE MEX,,-12.32
2025-03-20,UBER* TRIP CIUDAD DE MEX,,-13.78
2025-03-20,UBER* TRIP UBER.COM/MX/E,,-1.01
2025-03-20,UBER* TRIP CIUDAD DE MEX,,-18.96
2025-03-22,INTEREST CHARGED ON BANK CASH ADVANCES,,-2.48
2025-03-24,Online payment from CHK 9942,,1438.09
2025-03-24,BICICLETA PUBL ECOBICI CIUDAD DE MEX,,-7.75
2025-03-24,BICICLETA PUBL ECOBICI CIUDAD DE MEX,,-7.75
2025-03-24,EXPEDIA 73062267828670 EXPEDIA.COM WA,EXPEDIA.COM   WA,-3724.79
2025-03-24,THE RESTAURANT SN MIGUEL DE,,-172.89
2025-03-24,CLIP MX*TRANSPFRIENDL ALVARO OBREGO,,-275.27
2025-03-25,ALCATRAZ DISENOS SN MIGUEL DE,,-106.15
2025-03-25,REST EL PEGASO SN MIGUEL DE,,-49.71
2025-03-25,CIELO SN MIGUEL DE,,-74.97
2025-03-25,HERRERIA ROSAS SN MIGUEL DE,,-1874.98
2025-03-25,EXPEDIA 73063336852687 EXPEDIA.COM WA,EXPEDIA.COM   WA,-24
2025-03-25,EXPEDIA 73063315439405 EXPEDIA.COM WA,EXPEDIA.COM   WA,-961.42
2025-03-26,ALASKA AIR SEATTLE WA,SEATTLE       WA,-70
2025-03-26,ALASKA AIR SEATTLE WA,SEATTLE       WA,-140
2025-03-26,ALASKA AIR 0272100529836SEATTLE WA,SEATTLE       WA,-198.3
2025-03-26,ALASKA AIR SEATTLE WA,SEATTLE       WA,-70
2025-03-26,ALASKA AIR SEATTLE WA,SEATTLE       WA,-140
2025-03-26,ALASKA AIR SEATTLE WA,SEATTLE       WA,-140
2025-03-26,ALASKA AIR 0272100527181SEATTLE WA,SEATTLE       WA,-516.6
2025-03-26,ALASKA AIR 0272100527180SEATTLE WA,SEATTLE       WA,-516.6
2025-03-26,ALASKA AIR 0272100527179SEATTLE WA,SEATTLE       WA,-516.6
2025-03-26,ALASKA AIR 0272100527178SEATTLE WA,SEATTLE       WA,-516.6
2025-03-26,ALASKA AIR 0272100527177SEATTLE WA,SEATTLE       WA,-516.6
2025-03-26,ALASKA AIR 0272100529655SEATTLE WA,SEATTLE       WA,-386.6
2025-03-26,ALASKA AIR 0272100529654SEATTLE WA,SEATTLE       WA,-386.6
2025-03-26,ALASKA AIR 0272100529653SEATTLE WA,SEATTLE       WA,-386.6
2025-03-26,OPENAI *CHATGPT SUBSCR OPENAI.COM CA,OPENAI.COM    CA,-22.04
2025-03-26,MIXTA SAN MIGUEL SAN MIGUEL DE,,-114.9
2025-03-27,CLIP MX*TRANSPFRIENDL ALVARO OBREGO,,-329.17
2025-03-27,Garmin 800-5112459 ME,800-5112459   ME,-13.17
2025-03-27,UBER* TRIP CIUDAD DE MEX,,-8.49
2025-03-27,UBER* TRIP UBER.COM/MX/E,,-2
2025-03-28,BAR MARMOTA CIUDAD DE MEX,,-110.55
2025-03-28,BICICLETA PUBL ECOBICI CIUDAD DE MEX,,-12.2
2025-03-28,BICICLETA PUBL ECOBICI CIUDAD DE MEX,,-12.2
2025-03-28,MUSEO CIUDAD DE MEX,,-53.48
2025-03-28,UBER* TRIP CIUDAD DE MEX,,-10.82
2025-03-29,CLIP MX*TRANSPFRIENDL ALVARO OBREGO,,-56.85
2025-03-29,USCUSTOMS TRUSTEDTRAVELER317-715-6776 IN,317-715-6776  IN,-120
2025-03-31,ANNUAL FEE,,-95
2025-03-31,SVO TICKETING SEATTLE WA,SEATTLE       WA,-94.46
2025-03-31,TPD JUANITA 119 KIRKLAND WA,KIRKLAND      WA,-22.36
2025-03-31,METROPOLITAN MARKET MERCER ISLANDWA,MERCER ISLAND WA,-77.23
2025-03-31,"ParkWhiz, Inc. Chicago IL",Chicago       IL,-18.48
2025-03-31,VCS*Ministry*of Home A Windhoek,,-90.69
2025-03-31,SARANJEET SINGH SHAG CAB 206-8986775 WA,206-8986775   WA,-81.62
2025-03-31,SQ *DERU MARKET Kirkland WA,Kirkland      WA,-9.93
2025-04-01,VILLAGE CLEANERS MERCER ISLANDCA,MERCER ISLAND CA,-36.84
2025-04-01,DIGITALOCEAN.COM DIGITALOCEAN.NY,DIGITALOCEAN. NY,-13.22
2025-04-01,SQ *SEATTLE GRAND CENTRALSeattle WA,Seattle       WA,-27.89
2025-04-02,TPD FIRST HILL 117 SEATTLE WA,SEATTLE       WA,-13.05
2025-04-02,WA DEPT OF HEALTH HSQA 360-236-4508 WA,360-236-4508  WA,-143.5
2025-04-02,METROPOLITAN MARKET MERCER ISLANDWA,MERCER ISLAND WA,-6.61
2025-04-02,CIELO SAN MIGUEL AL,,-64.64
2025-04-02,METROPOLIS PARKING METROPOLIS.IOTN,METROPOLIS.IO TN,-11.99
2025-04-02,TST*VIVIENNES BISTRO Mercer IslandWA,Mercer Island WA,-223.95
2025-04-03,SQ *MOLLY MOON'S COLUMBIASeattle WA,Seattle       WA,-7.67
2025-04-04,Online payment from CHK 9942,,13685.78
2025-04-04,USCUSTOMS TRUSTEDTRAVELER317-715-6776 IN,317-715-6776  IN,-25
2025-04-04,LAZ PARKING ECOMMERCE HARTFORD CT,HARTFORD      CT,-18.61
2025-04-04,SDOT PAYBYPHONE PARKING 206-684-5260 WA,206-684-5260  WA,-6
2025-04-04,TST*TUTTA BELLA NEAPOLIT Seattle WA,Seattle       WA,-50.19
2025-04-05,METROPOLITAN MARKET MERCER ISLANDWA,MERCER ISLAND WA,-3.31
2025-04-05,SBUX SEATTLE WA,SEATTLE       WA,-5.24
2025-04-07,CORPORATE AIR CENTER BURLINGTON WA,BURLINGTON    WA,-446
